Compound,Neutral.Formula,CAS,CAS_RN,InChIKey,mz,Adduct,Charge,CCS,SD,RSD,CCS.z,Peak.N,Kingdom,Super.Class,Class,Subclass,N.Rep,Sources
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,1602.7041,[M+H-H2O],1,385.2,0.805,0.0021,385.2,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,1620.7158,[M+H],1,379.3,0.246,6.00E-04,379.3,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,829.8357,[M+H+K],2,424.7,0.417,0.001,212.4,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,821.8535,[M+H+Na],2,409.4,1.835,0.0045,204.7,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,821.8517,[M+H+Na],2,430,0.375,9.00E-04,215,2,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,1658.6653,[M+K],1,391.6,1.262,0.0032,391.6,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Daptomycin,C72H101N17O26,103060-53-3,CAS_RN:103060-53-3,DOAKLVKFURWEDJ-OFNKPWESSA-N,1642.6965,[M+Na],1,389.6,1.456,0.0037,389.6,1,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,3,1
Decabromodiphenyl Ether,C12Br10O,109945-70-2,CAS_RN:109945-70-2,WHHGLZMJPXIBIX-UHFFFAOYSA-N,886.2549,[M-Br+O],-1,204.5,0.415,0.002,204.5,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,3,7
Decachlorobiphenyl,C12Cl10,2051-24-3,CAS_RN:2051-24-3,ONXPZLFXDMAPRO-UHFFFAOYSA-N,474.7061,[M-Cl+O],-1,185.2,1.074,0.0058,185.2,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
Dehydro-L-(+)-ascorbic Acid Monomer,C6H6O6,490-83-5,CAS_RN:490-83-5,SBJKKFFYIZUCET-JLAZNSOCSA-N,173.0085,[M-H],-1,128.2,0.839,0.0065,128.2,1,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,4,8
Delphinidin,C15H11O7,13270-61-6,CAS_RN:13270-61-6,JKHRCGUTYDNCLE-UHFFFAOYSA-O,303.0505,[M*],1,170.3,0.503,0.003,170.3,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Hydroxyflavonoids,3,7
Deoxyadenosine,C10H13N5O3,16373-93-6,CAS_RN:16373-93-6,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,250.0944,[M-H],-1,155.4,0.189,0.0012,155.4,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyadenosine,C10H13N5O3,16373-93-6,CAS_RN:16373-93-6,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,252.1096,[M+H],1,152.3,0,0,152.3,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyadenosine,C10H13N5O3,16373-93-6,CAS_RN:16373-93-6,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,252.1096,[M+H],1,158.2,0.25,0.0016,158.2,2,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyadenosine,C10H13N5O3,16373-93-6,CAS_RN:16373-93-6,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,274.0912,[M+Na],1,161.9,0.486,0.003,161.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyadenosine Triphosphate,C10H16N5O12P3,74299-50-6,CAS_RN:74299-50-6,JEKDCIBJADJZSK-OJSHLMAWSA-L,511.9722,[M-2H+Na],-1,185.7,0.424,0.0023,185.7,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,4,8
Deoxyadenosine Triphosphate,C10H16N5O12P3,74299-50-6,CAS_RN:74299-50-6,JEKDCIBJADJZSK-OJSHLMAWSA-L,489.9938,[M-H],-1,186.4,0.332,0.0018,186.4,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,4,8
Deoxyadenosine Triphosphate,C10H16N5O12P3,74299-50-6,CAS_RN:74299-50-6,JEKDCIBJADJZSK-OJSHLMAWSA-L,492.0092,[M+H],1,195,0.465,0.0024,195,2,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,4,8
Deoxyadenosine Triphosphate,C10H16N5O12P3,74299-50-6,CAS_RN:74299-50-6,JEKDCIBJADJZSK-OJSHLMAWSA-L,513.9909,[M+Na],1,202,0.171,8.00E-04,202,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,4,8
Deoxycarnitine,C7H15NO2,6249-56-5,CAS_RN:6249-56-5,GNRKTORAJTTYIW-UHFFFAOYSA-N,146.1173,[M+H],1,129.7,0.141,0.0011,129.7,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
Deoxycarnitine,C7H15NO2,407-64-7,CAS_RN:407-64-7,JHPNVNIEXXLNTR-UHFFFAOYSA-O,146.1181,[M+H],1,129.6,0.101,8.00E-04,129.6,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Deoxycholate,C24H40O4,83-44-3,CAS_RN:83-44-3,KXGVEGMKQFWNSR-LLQZFEROSA-N,391.2844,[M-H],-1,202.1,0.322,0.0016,202.1,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",8,8
Deoxycorticosterone Acetate,C23H32O4,56-47-3,CAS_RN:56-47-3,VPGRYOFKCNULNK-ACXQXYJUSA-N,373.2357,[M+H],1,197.1,0.521,0.0026,197.1,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,4,8
Deoxycytidine,C9H13N3O4,951-77-9,CAS_RN:951-77-9,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,226.0847,[M-H],-1,149.1,0.927,0.0062,149.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,4,8
Deoxycytidine,C9H13N3O4,951-77-9,CAS_RN:951-77-9,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,266.0527,[M+K],1,158.5,0.05,3.00E-04,158.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,4,8
Deoxycytidine,C9H13N3O4,951-77-9,CAS_RN:951-77-9,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,250.0771,[M+Na],1,156.1,1.207,0.0077,156.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,7,"7, 8"
Deoxycytidine Diphosphate,C9H15N3O10P2,151151-32-5,CAS_RN:151151-32-5,SXMDNHAPEVRFNF-MILVPLDLSA-K,407.9984,[M-2H+Na],-1,176.5,0.294,0.0017,176.5,1,Organic compounds,Organic oxygen compounds,Organic oxoanionic compounds,Organic pyrophosphates,4,8
Deoxycytidine Diphosphate,C9H15N3O10P2,151151-32-5,CAS_RN:151151-32-5,SXMDNHAPEVRFNF-MILVPLDLSA-K,386.0153,[M-H],-1,174,0.275,0.0016,174,1,Organic compounds,Organic oxygen compounds,Organic oxoanionic compounds,Organic pyrophosphates,4,8
Deoxycytidine Diphosphate,C9H15N3O10P2,151151-32-5,CAS_RN:151151-32-5,SXMDNHAPEVRFNF-MILVPLDLSA-K,388.0306,[M+H],1,172.1,0.058,3.00E-04,172.1,1,Organic compounds,Organic oxygen compounds,Organic oxoanionic compounds,Organic pyrophosphates,4,8
Deoxycytidine Diphosphate,C9H15N3O10P2,151151-32-5,CAS_RN:151151-32-5,SXMDNHAPEVRFNF-MILVPLDLSA-K,410.0115,[M+Na],1,175.1,0.15,9.00E-04,175.1,1,Organic compounds,Organic oxygen compounds,Organic oxoanionic compounds,Organic pyrophosphates,4,8
Deoxyguanosine,C10H13N5O4,961-07-9,CAS_RN:961-07-9,YKBGVTZYEHREMT-KVQBGUIXSA-N,266.0887,[M-H],-1,159.2,0.231,0.0015,159.2,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyguanosine,C10H13N5O4,961-07-9,CAS_RN:961-07-9,YKBGVTZYEHREMT-KVQBGUIXSA-N,306.0588,[M+K],1,171.6,0.299,0.0017,171.6,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyguanosine,C10H13N5O4,961-07-9,CAS_RN:961-07-9,YKBGVTZYEHREMT-KVQBGUIXSA-N,290.0861,[M+Na],1,171.8,0.287,0.0017,171.8,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,4,8
Deoxyribose,C5H10O4,533-67-5,CAS_RN:533-67-5,ZVQAVWAHRUNNPG-LMVFSUKVSA-N,157.0468,[M+Na],1,134.7,0.81,0.006,134.7,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4,8
Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,CAS_RN:148296-43-9,PPAHWQWZRRHSCD-QMMSDIQLSA-L,585.0511,[M-2H+Na],-1,218.5,0.614,0.0028,218.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,4,8
Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,CAS_RN:148296-43-9,PPAHWQWZRRHSCD-QMMSDIQLSA-L,563.0677,[M-H],-1,209.5,0.236,0.0011,209.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,4,8
Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,CAS_RN:148296-43-9,PPAHWQWZRRHSCD-QMMSDIQLSA-L,587.0586,[M+Na],1,209.5,0.87,0.0042,209.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,4,8
Deoxyuridine,C9H12N2O5,951-78-0,CAS_RN:951-78-0,MXHRCPNRJAMMIM-SHYZEUOFSA-N,227.0671,[M-H],-1,150,1.126,0.0075,150,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,7,"7, 8"
Deoxyuridine,C9H12N2O5,951-78-0,CAS_RN:951-78-0,MXHRCPNRJAMMIM-SHYZEUOFSA-N,251.0625,[M+Na],1,157.3,1.165,0.0074,157.3,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,7,"7, 8"
Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,CAS_RN:42155-08-8,FXVXMLXAXVVONE-CDNBRZBRSA-L,329.0154,[M-2H+Na],-1,162.1,0.299,0.0018,162.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,CAS_RN:42155-08-8,FXVXMLXAXVVONE-CDNBRZBRSA-L,329.0154,[M-2H+Na],-1,171.9,0.206,0.0012,171.9,2,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,CAS_RN:42155-08-8,FXVXMLXAXVVONE-CDNBRZBRSA-L,307.033,[M-H],-1,159.2,0.15,9.00E-04,159.2,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,CAS_RN:42155-08-8,FXVXMLXAXVVONE-CDNBRZBRSA-L,331.0292,[M+Na],1,168.1,0.141,8.00E-04,168.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,CAS_RN:102814-08-4,AHCYMLUZIRLXAA-SHYZEUOFSA-N,488.947,[M-2H+Na],-1,188.9,0.171,9.00E-04,188.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,CAS_RN:102814-08-4,AHCYMLUZIRLXAA-SHYZEUOFSA-N,466.9659,[M-H],-1,178.5,0.222,0.0012,178.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,CAS_RN:102814-08-4,AHCYMLUZIRLXAA-SHYZEUOFSA-N,490.9617,[M+Na],1,185.1,0.451,0.0024,185.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,4,8
"Dibenzo(a,h)pyrene",C24H14,189-64-0,CAS_RN:189-64-0,RXUSYFJGDZFVND-UHFFFAOYSA-N,303.1174,[M+H],1,164.6,0.301,0.0018,164.6,1,Organic compounds,Benzenoids,Pyrenes,Benzopyrenes,3,7
Dicamba,C8H6Cl2O3,1918-00-9,CAS_RN:1918-00-9,IWEDIXLBFLAXBO-UHFFFAOYSA-N,242.9592,[M+Na],1,156.1,0.512,0.0033,156.1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,3,7
Diethanolamine,C4H11NO2,111-42-2,CAS_RN:111-42-2,ZBCBWPMODOFKDW-UHFFFAOYSA-N,106.0865,[M+H],1,122.2,0.8,0.0065,122.2,1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,7,"7, 8"
Diethyl Pthalate,C12H14O4,84-66-2,CAS_RN:84-66-2,FLKPEMZONWLCSK-UHFFFAOYSA-N,245.079,[M+Na],1,164.2,0.402,0.0024,164.2,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,3,7
Dihomo-gamma-linolenic Acid,C20H34O2,1783-84-2,CAS_RN:1783-84-2,HOBAELRKJCKHQD-QNEBEIHSSA-N,305.2486,[M-H],-1,182.6,0.464,0.0025,182.6,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,6,6
Dihydrobiopterin,C9H13N5O3,6779-87-9,CAS_RN:6779-87-9,FEMXZDUTFRTWPE-DZSWIPIPSA-N,236.0798,[M-H],-1,150.9,0.403,0.0027,150.9,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,4,8
Dihydrobiopterin,C9H13N5O3,6779-87-9,CAS_RN:6779-87-9,FEMXZDUTFRTWPE-DZSWIPIPSA-N,238.0938,[M+H],1,154.2,0.668,0.0043,154.2,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,4,8
Dihydrobiopterin,C9H13N5O3,6779-87-9,CAS_RN:6779-87-9,FEMXZDUTFRTWPE-DZSWIPIPSA-N,260.0759,[M+Na],1,157.6,0.862,0.0055,157.6,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,4,8
Dihydrofolate,C19H21N7O6,207226-40-2,CAS_RN:207226-40-2,UOHHAQNWTOGSOL-LTCKWSDVSA-N,462.1163,[M-2H+Na],-1,201.2,0.359,0.0018,201.2,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
Dihydrofolate,C19H21N7O6,207226-40-2,CAS_RN:207226-40-2,UOHHAQNWTOGSOL-LTCKWSDVSA-N,440.137,[M-H],-1,192,0.129,7.00E-04,192,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
Dihydrofolate,C19H21N7O6,4033-27-6,CAS_RN:4033-27-6,OZRNSSUDZOLUSN-LBPRGKRZSA-N,444.1631,[M+H],1,192.4,0.476,0.0025,192.4,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",3,7
Dihydroxyacetone Phosphate Dilithium Salt,C3H7O6P,102783-56-2,CAS_RN:102783-56-2,QWIKESRFRWLYIA-UHFFFAOYSA-L,192.9878,[M+Na],1,143.2,0.314,0.0022,143.2,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
Dipalmitoyl-Phosphoethanolamine,C37H74NO8P,5681-36-7,CAS_RN:5681-36-7,SLKDGVPOSSLUAI-UHFFFAOYSA-N,690.5053,[M-H],-1,261.8,0.862,0.0033,261.8,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,4,8
Dipalmitoylglycerol,C35H68O5,30334-71-5,CAS_RN:30334-71-5,JEJLGIQLPYYGEE-XIFFEERXSA-N,607.4658,[M+K],1,255.1,0.264,0.001,255.1,1,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,4,8
Dipalmitoylglycerol,C35H68O5,30334-71-5,CAS_RN:30334-71-5,JEJLGIQLPYYGEE-XIFFEERXSA-N,591.4938,[M+Na],1,252.2,0.087,3.00E-04,252.2,1,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,4,8
Diuron,C9H10Cl2N2O,330-54-1,CAS_RN:330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,231.0092,[M-H],-1,149.4,0.417,0.0028,149.4,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,3,7
Diuron,C9H10Cl2N2O,330-54-1,CAS_RN:330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,233.0248,[M+H],1,152.3,0.707,0.0046,152.3,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,3,7
Diuron,C9H10Cl2N2O,330-54-1,CAS_RN:330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,255.0068,[M+Na],1,161.7,0.502,0.0031,161.7,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,3,7
DL-beta-Hydroxybutyric Acid Sodium Salt,C4H8O3,150-83-4,CAS_RN:150-83-4,NBPUSGBJDWCHKC-UHFFFAOYSA-M,103.0395,[M-H],-1,137.1,0,0,137.1,1,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,3,7
DL-Cystathionine,C7H14N2O4S,535-34-2,CAS_RN:535-34-2,ILRYLPWNYFXEMH-UHFFFAOYSA-N,221.0596,[M-H],-1,143.9,0.153,0.0011,143.9,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",3,7
DL-Kynurenine,C10H12N2O3,343-65-7,CAS_RN:343-65-7,YGPSJZOEDVAXAB-UHFFFAOYSA-N  ,209.0913,[M+H],1,149.6,0.506,0.0034,149.6,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,7,"7, 8"
DL-Kynurenine,C10H12N2O3,343-65-7,CAS_RN:343-65-7,YGPSJZOEDVAXAB-UHFFFAOYSA-N  ,231.0737,[M+Na],1,152.7,0.35,0.0023,152.7,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,4,8
DL-Leucine,C6H13NO2,328-39-2,CAS_RN:328-39-2,ROHFNLRQFUQHCH-UHFFFAOYSA-N  ,130.0874,[M-H],-1,134.8,0.096,7.00E-04,134.8,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
DL-Leucine,C6H13NO2,328-39-2,CAS_RN:328-39-2,ROHFNLRQFUQHCH-UHFFFAOYSA-N  ,132.101,[M+H],1,131.1,1.023,0.0078,131.1,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
DL-Pipecolate,C6H11NO2,535-75-1,CAS_RN:535-75-1,HXEACLLIILLPRG-UHFFFAOYSA-N,128.0717,[M-H],-1,129.3,0.796,0.0062,129.3,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
DL-Pipecolate,C6H11NO2,535-75-1,CAS_RN:535-75-1,HXEACLLIILLPRG-UHFFFAOYSA-N,130.0865,[M+H],1,127.4,0.64,0.005,127.4,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
DL-Pipecolate,C6H11NO2,535-75-1,CAS_RN:535-75-1,HXEACLLIILLPRG-UHFFFAOYSA-N,152.0671,[M+Na],1,139,0.796,0.0057,139,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
Docosahexaenoic Acid,C22H32O2,6217-54-5,CAS_RN:6217-54-5,MBMBGCFOFBJSGT-KUBAVDMBSA-N,327.2317,[M-H],-1,190.5,0.609,0.0032,190.5,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Docosahexaenoic Acid,C22H32O2,6217-54-5,CAS_RN:6217-54-5,MBMBGCFOFBJSGT-KUBAVDMBSA-N,329.2474,[M+H],1,183.5,0.803,0.0044,183.5,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Docosahexaenoic Acid,C22H32O2,6217-54-5,CAS_RN:6217-54-5,MBMBGCFOFBJSGT-KUBAVDMBSA-N,351.2293,[M+Na],1,183.9,0.202,0.0011,183.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Dopamine,C8H11NO2,62-31-7,CAS_RN:62-31-7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,152.0713,[M-H],-1,133.3,1.593,0.012,133.3,1,Organic compounds,Benzenoids,Phenols,Benzenediols,7,"7, 8"
Dopamine,C8H11NO2,62-31-7,CAS_RN:62-31-7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,154.085,[M+H],1,134.9,9.778,0.0725,134.9,1,Organic compounds,Benzenoids,Phenols,Benzenediols,7,"7, 8"
Eicosadienoic Acid (20:2),C20H36O2,2091-39-6,CAS_RN:2091-39-6,XSXIVVZCUAHUJO-HZJYTTRNSA-N,307.2637,[M-H],-1,181.8,0.174,0.001,181.8,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Eicosadienoic Acid (20:2),C20H36O2,2091-39-6,CAS_RN:2091-39-6,XSXIVVZCUAHUJO-HZJYTTRNSA-N,307.2643,[M-H],-1,183.1,0.369,0.002,183.1,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,6
Eicosadienoic Acid (20:2),C20H36O2,2091-39-6,CAS_RN:2091-39-6,XSXIVVZCUAHUJO-HZJYTTRNSA-N,331.2613,[M+Na],1,182.9,0.564,0.0031,182.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
Eicosanoic Acid (20:0),C20H40O2,506-30-9,CAS_RN:506-30-9,VKOBVWXKNCXXDE-UHFFFAOYSA-N,311.2953,[M-H],-1,185,0.299,0.0016,185,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
Eicosanoic Acid (20:0),C20H340O2,506-30-9,CAS_RN:506-30-9,VKOBVWXKNCXXDE-UHFFFAOYSA-N,311.2956,[M-H],-1,185.9,0.401,0.0022,185.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,5,6
Elaidate,C18H34O2,112-79-8,CAS_RN:112-79-8,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,281.2485,[M-H],-1,175.9,0.133,8.00E-04,175.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
Emodin,C15H10O5,518-82-1,CAS_RN:518-82-1,RHMXXJGYXNZAPX-UHFFFAOYSA-N,269.045,[M-H],-1,156.4,0.209,0.0013,156.4,1,Organic compounds,Benzenoids,Anthracenes,Anthraquinones,3,7
Emodin,C15H10O5,518-82-1,CAS_RN:518-82-1,RHMXXJGYXNZAPX-UHFFFAOYSA-N,271.0606,[M+H],1,160.3,0.464,0.0029,160.3,1,Organic compounds,Benzenoids,Anthracenes,Anthraquinones,3,7
Epinephrine,C9H13NO3,51-43-4,CAS_RN:51-43-4,UCTWMZQNUQWSLP-VIFPVBQESA-N,182.0831,[M-H],-1,140.3,0.337,0.0024,140.3,1,Organic compounds,Benzenoids,Phenols,Benzenediols,4,8
Eriodictyol,C15H12O6,552-58-9,CAS_RN:552-58-9,SBHXYTNGIZCORC-ZDUSSCGKSA-N,289.0712,[M+H],1,169.4,0.537,0.0032,169.4,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,3,7
Eriodictyol,C15H12O6,552-58-9,CAS_RN:552-58-9,SBHXYTNGIZCORC-ZDUSSCGKSA-N,311.0532,[M+Na],1,181,0.512,0.0028,181,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,3,7
Erythritol,C4H10O4,149-32-6,CAS_RN:149-32-6,UNXHWFMMPAWVPI-ZXZARUISSA-N,145.0463,[M+Na],1,130,0.129,0.001,130,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4,8
Ethyl-3-indoleacetate,C12H13NO2,778-82-5,CAS_RN:778-82-5,HUDBDWIQSIGUDI-UHFFFAOYSA-N,202.0868,[M-H],-1,145.8,0.51,0.0035,145.8,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
Ethyl-3-indoleacetate,C12H13NO2,778-82-5,CAS_RN:778-82-5,HUDBDWIQSIGUDI-UHFFFAOYSA-N,204.1012,[M+H],1,145.4,0.375,0.0026,145.4,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
Ethyl-3-indoleacetate,C12H13NO2,778-82-5,CAS_RN:778-82-5,HUDBDWIQSIGUDI-UHFFFAOYSA-N,226.0847,[M+Na],1,153.9,0.729,0.0047,153.9,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
